continent,sector,market_cap,probability
North America,Communication Services,Mega Cap,0.0012343669460947884
North America,Communication Services,Micro Cap,0.0018040747673693062
North America,Communication Services,Mid Cap,0.0017091234638235532
North America,Communication Services,Nano Cap,0.006063318954993082
North America,Communication Services,Small Cap,0.0024551694202544693
North America,Consumer Discretionary,Large Cap,0.011719703751932938
North America,Consumer Discretionary,Mega Cap,0.0006104012370798405
North America,Consumer Discretionary,Micro Cap,0.002943490409918342
North America,Consumer Discretionary,Mid Cap,0.005371530886302597
North America,Consumer Discretionary,Nano Cap,0.006795800439488891
North America,Consumer Discretionary,Small Cap,0.0045305336263259275
North America,Consumer Staples,Large Cap,0.0037437942540896885
North America,Consumer Staples,Mega Cap,0.0005290144054691951
North America,Consumer Staples,Micro Cap,0.002129622093811888
North America,Consumer Staples,Mid Cap,0.0017633813515639837
North America,Consumer Staples,Nano Cap,0.005154499335340875
North America,Consumer Staples,Small Cap,0.0018990260709150593
North America,Energy,Large Cap,0.0025772496676704374
North America,Energy,Mega Cap,0.0002577249667670438
North America,Energy,Micro Cap,0.0031198285450747404
North America,Energy,Mid Cap,0.002414476004449147
North America,Energy,Nano Cap,0.008721955454274165
North America,Energy,Small Cap,0.00457122704213125
North America,Financials,Large Cap,0.007894522666232603
North America,Financials,Mega Cap,0.0013021893057703264
North America,Financials,Micro Cap,0.018569762079162257
North America,Financials,Mid Cap,0.007351943788828301
North America,Financials,Nano Cap,0.03053362632592713
North America,Financials,Small Cap,0.04005588562437264
North America,Health Care,Large Cap,0.006212528146279266
North America,Health Care,Mega Cap,0.0008409972599766691
North America,Health Care,Micro Cap,0.013862890317679932
North America,Health Care,Mid Cap,0.005439353245978134
North America,Health Care,Nano Cap,0.02346653644773609
North America,Health Care,Small Cap,0.010512465749708363
North America,Industrials,Large Cap,0.00774531347494642
North America,Industrials,Mega Cap,4.06934158053227e-05
North America,Industrials,Micro Cap,0.0041778573560131305
North America,Industrials,Mid Cap,0.006443124169176094
North America,Industrials,Nano Cap,0.010173353951330675
North America,Industrials,Small Cap,0.006321043921760126
North America,Information Technology,Large Cap,0.008084425273324109
North America,Information Technology,Mega Cap,0.0013564471935107567
North America,Information Technology,Micro Cap,0.005276579582756844
North America,Information Technology,Mid Cap,0.006850058327229321
North America,Information Technology,Nano Cap,0.01477170993733214
North America,Information Technology,Small Cap,0.005656384796939855
North America,Materials,Large Cap,0.002848539106372589
North America,Materials,Micro Cap,0.013130408833184124
North America,Materials,Mid Cap,0.0040150836927918395
North America,Materials,Nano Cap,0.039879547489216245
North America,Materials,Small Cap,0.007121347765931472
North America,Real Estate,Large Cap,0.0025772496676704374
North America,Real Estate,Micro Cap,0.001532785328667155
North America,Real Estate,Mid Cap,0.003662407422479043
North America,Real Estate,Nano Cap,0.0021703155096172108
North America,Real Estate,Small Cap,0.0039336968611811945
North America,Utilities,Large Cap,0.002631507555410868
North America,Utilities,Mega Cap,1.3564471935107566e-05
North America,Utilities,Micro Cap,0.0007324814844958086
North America,Utilities,Mid Cap,0.0021431865657469953
North America,Utilities,Nano Cap,0.0009359485635224221
North America,Utilities,Small Cap,0.0005697078212745178
Oceania,Communication Services,Large Cap,0.00014920919128618324
Oceania,Communication Services,Micro Cap,0.0002984183825723665
Oceania,Communication Services,Mid Cap,0.0002984183825723665
Oceania,Communication Services,Nano Cap,0.00033911179837768917
Oceania,Communication Services,Small Cap,0.0002441604948319362
Oceania,Consumer Discretionary,Large Cap,5.4257887740430265e-05
Oceania,Consumer Discretionary,Micro Cap,0.0006917880686904858
Oceania,Consumer Discretionary,Mid Cap,0.0005154499335340876
Oceania,Consumer Discretionary,Nano Cap,0.00046119204579365725
Oceania,Consumer Discretionary,Small Cap,0.0008545617319117766
Oceania,Consumer Staples,Large Cap,8.13868316106454e-05
Oceania,Consumer Staples,Micro Cap,0.000596836765144733
Oceania,Consumer Staples,Mid Cap,0.0002441604948319362
