continent,sector,market_cap,probability,lower,upper
Oceania,Energy,Mid Cap,0.00027128943870215135,0.0001627736632212908,0.0003933696861181194
Oceania,Energy,Nano Cap,0.0013564471935107567,0.0011122866986788204,0.001627736632212908
Oceania,Energy,Small Cap,0.00023059602289682862,0.000135305607552698,0.00035267627031279673
Oceania,Financials,Large Cap,0.0009630775073926372,0.0007324814844958086,0.0011801090583543582
Oceania,Financials,Micro Cap,0.0009359485635224221,0.000718917012560701,0.0011665445864192507
Oceania,Financials,Mid Cap,0.0005697078212745178,0.000406934158053227,0.0007460459564309161
Oceania,Financials,Nano Cap,0.0008003038441713464,0.000596836765144733,0.0010037709231979599
Oceania,Financials,Small Cap,0.0007596104283660237,0.0005561433493394102,0.0009630775073926372
Oceania,Health Care,Large Cap,0.00031198285450747404,0.00018990260709150593,0.0004476275738585497
Oceania,Health Care,Micro Cap,0.0014242695531862944,0.0011529801144841431,0.0017091234638235532
Oceania,Health Care,Mid Cap,0.00018990260709150593,9.495130354575297e-05,0.0002848539106372589
Oceania,Health Care,Nano Cap,0.001939719486720382,0.001627736632212908,0.002251702341227856
Oceania,Health Care,Small Cap,0.0008409972599766691,0.0006375301809500556,0.0010580288109383901
Oceania,Industrials,Large Cap,0.0001220802474159681,5.4257887740430265e-05,0.0002034670790266135
Oceania,Industrials,Micro Cap,0.0010851577548086054,0.0008681262038468842,0.0013293182496405414
Oceania,Industrials,Mid Cap,0.0005697078212745178,0.000406934158053227,0.0007460459564309161
Oceania,Industrials,Nano Cap,0.0010444643390032826,0.0008270936762431838,0.0012886248338352187
Oceania,Industrials,Small Cap,0.000596836765144733,0.0004340631019234421,0.0007867393722362389
Oceania,Information Technology,Large Cap,0.00017633813515639837,9.495130354575297e-05,0.0002848539106372589
Oceania,Information Technology,Micro Cap,0.001125851170613928,0.0008952551477170994,0.0013564471935107567
Oceania,Information Technology,Mid Cap,0.00018990260709150593,0.00010817666368248286,0.0002984183825723665
Oceania,Information Technology,Nano Cap,0.0015463498006022625,0.0012614958899650037,0.0018312037112395215
Oceania,Information Technology,Small Cap,0.0007596104283660237,0.0005832722932096253,0.0009634166191910146
Oceania,Materials,Large Cap,0.0008545617319117766,0.0006510946528851632,0.0010851577548086054
Oceania,Materials,Micro Cap,0.005140934863405768,0.004639049401806788,0.005656723908738232
Oceania,Materials,Mid Cap,0.0010308998670681751,0.000813868316106454,0.0012614958899650037
Oceania,Materials,Nano Cap,0.008152247632999647,0.007541846395919807,0.008776213342014595
Oceania,Materials,Small Cap,0.0020753642060714578,0.0017362524076937685,0.002414476004449147
Oceania,Real Estate,Large Cap,0.00010851577548086053,4.06934158053227e-05,0.00018990260709150593
Oceania,Real Estate,Micro Cap,0.0002577249667670438,0.00014920919128618324,0.00037980521418301186
Oceania,Real Estate,Mid Cap,0.000406934158053227,0.0002577249667670438,0.0005561433493394102
Oceania,Real Estate,Nano Cap,0.0002577249667670438,0.00014920919128618324,0.00037980521418301186
Oceania,Real Estate,Small Cap,0.0004476275738585497,0.00031198285450747404,0.000596836765144733
Oceania,Utilities,Large Cap,0.00017633813515639837,9.495130354575297e-05,0.0002848539106372589
Oceania,Utilities,Micro Cap,9.495130354575297e-05,2.7128943870215132e-05,0.0001627736632212908
Oceania,Utilities,Mid Cap,0.00042049862998833456,0.0002848539106372589,0.0005697078212745178
Oceania,Utilities,Nano Cap,0.0002577249667670438,0.00014920919128618324,0.00037980521418301186
Oceania,Utilities,Small Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
South America,Communication Services,Large Cap,8.13868316106454e-05,2.7128943870215132e-05,0.00014920919128618324
South America,Communication Services,Micro Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
South America,Communication Services,Mid Cap,0.0001220802474159681,5.4257887740430265e-05,0.00021703155096172106
South America,Communication Services,Nano Cap,8.13868316106454e-05,2.7128943870215132e-05,0.0001627736632212908
South America,Communication Services,Small Cap,0.00023059602289682862,0.00013564471935107567,0.00035267627031279673
South America,Consumer Discretionary,Large Cap,0.00010851577548086053,4.06934158053227e-05,0.0002034670790266135
South America,Consumer Discretionary,Micro Cap,0.00033911179837768917,0.00021703155096172106,0.0004747565177287648
South America,Consumer Discretionary,Mid Cap,0.0002034670790266135,0.00010851577548086053,0.0003255473264425816
South America,Consumer Discretionary,Nano Cap,0.0004747565177287648,0.0003255473264425816,0.0006510946528851632
